filename,pixel_count,area_mm²,scale_x_mm_per_px,scale_y_mm_per_px
APAL23_AP021_2024_07_18 (3)_part_1.jpg,600761,2323.5,0.0586,0.066
APAL23_AP021_2024_07_18 (3)_part_3.jpg,500264,1934.82,0.0586,0.066
APAL23_AP030_2024_07_18 (12)_part_0.jpg,283890,1097.97,0.0586,0.066
APAL23_AP030_2024_07_18 (17)_part_1.jpg,623695,2412.2,0.0586,0.066
APAL23_AP030_2024_07_18 (20)_part_3.jpg,406428,1571.9,0.0586,0.066
APAL23_AP030_2024_07_18 (6)_part_6.jpg,532456,2059.33,0.0586,0.066
APAL23_AP030_2024_07_18 (9)_part_1.jpg,223139,863.01,0.0586,0.066
APAL23_AP030_2024_07_18 (9)_part_8.jpg,834321,3226.82,0.0586,0.066
APAL23_AP056_2024_07_18 (4)_part_10.jpg,127260,492.19,0.0586,0.066
APAL23_AP056_2024_07_18 (4)_part_11.jpg,70175,271.41,0.0586,0.066
APAL23_AP170_2024_07_18 (17)_part_3.jpg,900086,3481.17,0.0586,0.066
APAL23_BAT108_2024_07_18 (5)_part_8.jpg,138087,534.07,0.0586,0.066
APAL23_BAT108_2024_07_18 (6)_part_0.jpg,1200041,4641.28,0.0586,0.066
APAL23_BAT108_2024_07_18 (6)_part_4.jpg,979674,3788.99,0.0586,0.066
APAL23_BAT124_2024_07_18 (3)_part_0.jpg,158099,611.46,0.0586,0.066
APAL23_BAT124_2024_07_18 (3)_part_1.jpg,198316,767.01,0.0586,0.066
APAL23_BAT124_2024_07_18 (3)_part_2.jpg,95166,368.06,0.0586,0.066
APAL23_F2LK_2024_07_18 (3)_part_4.jpg,723042,2796.44,0.0586,0.066
APAL23_F2LK_2024_07_18 (3)_part_5.jpg,764605,2957.19,0.0586,0.066
APAL23_F2LK_2024_07_18 (3)_part_7.jpg,25043,96.86,0.0586,0.066
APRO23_AC55A_2024_07_18 (2)_part_0.jpg,704384,2724.28,0.0586,0.066
APRO23_AP18_2024_07_18 (3)_part_3.jpg,76858,297.26,0.0586,0.066
APRO23_AP18_2024_07_18 (4)_part_3.jpg,103794,401.43,0.0586,0.066
APRO23_AP18_2024_07_18 (5)_part_2.jpg,73327,283.6,0.0586,0.066
APRO23_BALBP_2024_07_18 (5)_part_3.jpg,104204,403.02,0.0586,0.066
APRO23_BALBP_2024_07_18 (5)_part_6.png,118186,457.1,0.0586,0.066
APRO23_BALBP_2024_07_18 (5)_part_7.png,0,0.0,0.0586,0.066
APRO23_ML2_2024_07_18 (2)_part_0-1.jpg,2041087,7894.11,0.0586,0.066
APRO23_ML2_2024_07_18 (2)_part_0-3.png,164880,637.69,0.0586,0.066
APRO23_ML2_2024_07_18 (2)_part_0-4.png,131526,508.69,0.0586,0.066
